email,nickname,password,photo
charli@demomail.com,Charli Guerra,pass1234,https://i.postimg.cc/hGTgJNJC/avatar01.jpg
stuart@demomail.com,Stuart Miller,pass1234,https://i.postimg.cc/NFfwzMdV/avatar02.jpg
will@demomail.com,Will Chaney,pass1234,https://i.postimg.cc/Hxmmb3XT/avatar03.jpg
arnold@demomail.com,Arnold Dawe,pass1234,https://i.postimg.cc/rm9kjWNx/avatar04.jpg
denzel@demomail.com,Denzel Durham,pass1234,https://i.postimg.cc/HnZCDgKL/avatar05.jpg
leela@demomail.com,Leela Elliott,pass1234,https://i.postimg.cc/pVqvnfTt/avatar06.jpg
olive@demomail.com,Olive Feeney,pass1234,https://i.postimg.cc/RVhB1W6J/avatar07.jpg
kinga@demomail.com,Kinga Akhtar,pass1234,https://i.postimg.cc/J4FWpRZ6/avatar08.jpg
catrina@demomail.com,Catrina Aguirre,pass1234,https://i.postimg.cc/N0qvwbNR/avatar09.jpg
eva@demomail.com,Eva Pitts,pass1234,https://i.postimg.cc/2SBNJgxz/avatar10.jpg
